ID,Nume,Nr_Camere,Metri_Patrati,Pret,Localizare
A3B00I5V1DV, Apartament 2 camere complet mobilat bloc nou ,2 camere,49 mp utili,47.500 EUR,"Bucuresti, Sector 4, zona Berceni "
5P700HT1IFU," garsoniera, Doamna Ghica, decomandat, etaj 1/3, finisaje la alegere, imobil nou ",o cameră,28 mp utili,40.000 EUR,"Bucuresti, Sector 2, zona Doamna Ghica (Colentina) "
17L10005PAM, Super Oferta!!! Vanzare apartament 3 camere 13 Septembrie-Odobleja ,3 camere,80 mp utili,74.000 EUR,"Bucuresti, zona 13 Septembrie "
70G00I6S37I, Vanzare Garsoniera Lacul Tei - Parc - Facultatea de Constructii ,o cameră,28 mp utili,31.500 EUR,"Bucuresti, Sector 2, zona Lacul Tei (Tei) "
3HJ10I62PRD, Apartament de vânzare 2 camere ,2 camere,51 mp utili,74.000 EUR,"Bucuresti, Sector 4, zona Tineretului "
9VB00I0O49B, Apartament 4 camere - B 4.3 ,4 camere,90.83 mp utili,193.737 EUR + TVA,"Bucuresti, Sector 1, zona Iancu Nicolae (Pipera) "
9G900HG36GJ, Apartament 3 camere cu gradina si piscina zona de Nord - Padurea Baneasa ,3 camere,66 mp utili,92.250 EUR + TVA,"Bucuresti, Sector 1, zona Baneasa "
3AI10003VJ1, GARSONIERA SISESTI REZIDENTIAL ,o cameră,31 mp utili,49.000 EUR,"Bucuresti, Sector 1, zona Sisesti (Baneasa) "
77700HU5SFH, RealKom Agentie Imobiliara Apartament 3 Camere De Vanzare Bulevardul Unirii ,3 camere,81 mp utili,170.000 EUR,"Bucuresti, Sector 3, zona Unirii "
52L1000G1KS," Dorobanti Residenz, clasic si elegant ",3 camere,140 mp utili,330.000 EUR,"Bucuresti, zona Dorobanti "
A0800I1N665, Apartament 2 camere decomandat cu terasa in H Pipera Lake. Oferta promotionala! ,2 camere,52.18 mp utili,71.000 EUR + TVA,"Bucuresti, zona Aviatiei "
55I00HOJ1IG, Neofort 57 - Bloc Nou Predare Luna Aprilie 2018 Apartament 3 Camere ,3 camere,100.4 mp utili,148.523 EUR + TVA,"Bucuresti, Sector 2, zona Alba Iulia (Unirii) "
82D00I3C9S6," Apartament 4 camere, decomandat , Iancului, pozitie ideala ",4 camere,77 mp utili,115.000 EUR,"Bucuresti, Sector 2, zona Iancului "
9CF00I4KTA7," Vanzare apartament 2 camere, Tineretului - Timpuri Noi, 1980, metrou ",2 camere,45 mp utili,65.000 EUR,"Bucuresti, Sector 4, zona Tineretului "
53U00HJCDEO," Metrou Dimitrie Leonida , apartament 2 camere -direct dezvoltator  ",2 camere,47 mp utili,46.500 EUR,"Bucuresti, Sector 4, zona Berceni "
17L100067KV," Ocazie! Apartament 2 cam, renovat 2018, Dorobanti/Stefan cel Mare ",2 camere,48 mp utili,81.000 EUR,"Bucuresti, zona Dorobanti "
7Q11000015A," Apartament 2 camere,54 mp utili,decomandat,Auchan Militari ",2 camere,54.35 mp utili,48.000 EUR,"Bucuresti, zona Militari "
17L100068T6, Urgent Vanzare Apartament cu 4 camere 97mp.Sos.Iancului ,4 camere,82 mp utili,73.900 EUR,"Bucuresti, zona Iancului "
3HJ10FKED4B," Vanzare 4 camere, Unirii, 147mp, etaj 6/7, decomandat, lux. ",3 camere,147 mp utili,240.000 EUR,"Bucuresti, Sector 4, zona Unirii "
78E100009K2, VIB19858 COMISION 0 - 2 camere +parcare - terasa 23 mp Calarasilor -Delea Veche ,2 camere,55 mp utili,115.000 EUR + TVA,"Bucuresti, zona Calea Calarasilor "
4BO1000021S, Apartament cu 2 camere de vanzare in zona Matei Basarab-OVA 118821 ,2 camere,58 mp utili,88.000 EUR,"Bucuresti, zona Calea Calarasilor "
5QB1000G4UK, Apartament 3 camere Militari ,3 camere,67 mp utili,77.000 EUR,"Bucuresti, zona Militari "
A1T00I3EP9H, Apartament 3 camere - B 2.4 ,3 camere,71.36 mp utili,107.372 EUR + TVA,"Bucuresti, zona Pipera "
4CO10000SQU, Vanzare Apartament 3 Camere-Unirii ,3 camere,60 mp utili,79.900 EUR,"Bucuresti, zona Unirii "
71210000FRR, Vanzare apartament cu 3 camere Matei Basarab ,3 camere,125 mp utili,185.000 EUR,"Bucuresti, zona Calea Calarasilor "
94H1000010B, 4 camere Intercontinental ,4 camere,145 mp utili,210.000 EUR,"Bucuresti, zona Universitate (Ultracentral) "
7O700FJPNLP, VANZARE 3 CAMERE TIP B UNIVERSITATE-PACHE ORANGE RESIDENCE ,3 camere,63 mp utili,98.700 EUR,"Bucuresti, Sector 2, zona Calea Calarasilor "
5P700I4P0DS," OFERTA Decebal, 3 camere, apartament foarte generos, luminos, tva inclus ",3 camere,88 mp utili,179.100 EUR,"Bucuresti, Sector 3, zona Decebal "
V0D00HU4BUN, VANZARE Apartament 3 camere zona Alba Iulia-Muncii ,3 camere,65 mp utili,140.000 EUR,"Bucuresti, Sector 3, zona Decebal "
3AI10001VF6, 3 Camere decomandat mobilat si utilat bloc nou Bucurestii Noi ,3 camere,90 mp utili,120.000 EUR,"Bucuresti, Sector 1, zona Jiului (Bucurestii Noi) "
7NU10001K5I, Apartament 3 camere Pantelimon Anunţ nou ,3 camere,108 mp utili,108.000 EUR,"Bucuresti, zona Pantelimon "
A4200I5R7F4, COTROCENI - APARTAMENTE DE LUX - CORTINA ACADEMY ,2 camere,55.35 mp utili,124.092 EUR + TVA,"Bucuresti, zona Ultracentral "
A2I00I6IQE0," 3 camere in curs de finalizare, loc de parcare, Pallady  ",3 camere,67 mp utili,65.000 EUR,"Bucuresti, Sector 3, zona Theodor Pallady (Titan) "
8DU00I4JLVV," 3 camere, 168 mp utili, Mobilat si Utilat Lux ",3 camere,168 mp utili,100.000 EUR,"Bucuresti, Sector 6, zona Drumul Taberei "
7NU10001K5J, Apartament 2 camere Vitan Anunţ nou ,2 camere,72 mp utili,108.000 EUR,"Bucuresti, zona Dristor "
55I00HEBTER, NEOFORT 76 BLOC NOU FINALIZAT APARTAMENTE LA CHEIE MUTARE IMEDIATA BD. TIMISOARA ,2 camere,75.08 mp utili,64.569 EUR + TVA,"Bucuresti, Sector 6, zona Militari "
V0E00I7BUUO, Garsoniera Titan Anunţ nou ,o cameră,34 mp utili,36.000 EUR,"Bucuresti, zona Titan "
V0D00I73EB3, Apartament 4 camere Aviatiei Smaranda Braescu ,4 camere,80 mp utili,166.000 EUR,"Bucuresti, zona Herastrau "
A0800I1N8HK, Apartament 3 camere cu terasa in Pipera - Aviatiei. Oferta promotionala! ,3 camere,70.9 mp utili,93.800 EUR + TVA,"Bucuresti, zona Aviatiei "
V0E00I7AF4E," Apartament ultracentral, linistit, insorit, cochet. Anunţ nou ",3 camere,52 mp utili,95.000 EUR,"Bucuresti, zona Universitate (Ultracentral) "
A2I00I6G5QN," Garsoniera in bloc nou, Titan - 1 Decembrie 1918 ",o cameră,33 mp utili,33.000 EUR,"Bucuresti, Sector 3, zona Theodor Pallady (Titan) "
98O00HU8V1L," Titan 4 Residence: 1,2,3,4 camere,direct dezvoltator , disponibil ""Prima Casa"" ",2 camere,Etaj 3/4,40.800 EUR,"Bucuresti, Sector 3, zona Titan "
9FM00I591FN, Apartament 2 camere Plazza Residence Faza 2 ,2 camere,54.2 mp utili,65.000 EUR,"Bucuresti, Sector 6, zona Militari "
V0E00I7AFT8," 13 Septembrie-Marriott, 106mp (living 42mp), 4 camere, 10 minute de Parcul Izvor Anunţ nou ",4 camere,106 mp utili,172.500 EUR,"Bucuresti, zona 13 Septembrie "
V0D00I4PI81, Penthouse de excepţie in Bucureştii Noi ,4 camere,155 mp utili,189.000 EUR,"Bucuresti, Sector 1, zona Bucurestii Noi "
V0D00I3FT0M, Domenii - Grivita - str.Tintasului nr.16 - apartamente de vanzare ,3 camere,99 mp utili,180.000 EUR,"Bucuresti, Sector 1, zona Domenii (1 Mai) "
8RP00HVVUJB, Apartament Titan - Trapezului 1000 m metrou 1 Decembrie 1918. ,2 camere,60 mp utili,55.000 EUR,"Bucuresti, Sector 3, zona Theodor Pallady (Titan) "
V0900GLM7DT," Oportunitate 2 camere Floreasca complex Upground - Premium, vedere deschisa ",2 camere,93 mp utili,178.000 EUR,"Bucuresti, zona Barbu Vacarescu (Floreasca) "
V0D00I61I4A," Intersectie Bucurestii Noi-Sos.Chitilei,2 camere-bloc 2009-langa Mega Image ",2 camere,52 mp utili,74.000 EUR,"Bucuresti, zona Bucurestii Noi "
V0D00I6ESH4, Virtutii 3 camere ,3 camere,77 mp utili,105.000 EUR,"Bucuresti, Sector 6, zona Virtutii (Militari) "
A2I00I5459B, Direct dezvoltator !Apartament 2 camere 61mp- Metrou Pacii ,2 camere,60.65 mp utili,60.500 EUR,"Bucuresti, Sector 6, zona Militari "
V0D00I4H74F, Apartament 2 Camere/Vedere la Piscina/Proprietar ,2 camere,60 mp utili,63.500 EUR,"Bucuresti, zona Pipera "
4JT100004GI, Homebrokers.ro- Vanzare apartament 3 camere Incity Residences ,3 camere,93.67 mp utili,130.000 EUR + TVA,"Bucuresti, zona Unirii "
8C000HT7I3G, Delea Noua - Decebal - predare Iunie 2019 - direct dezvoltator ,2 camere,56.75 mp utili,97.000 EUR + TVA,"Bucuresti, Sector 3, zona Decebal "
55I00I1SL0G, Neofort 57 - Apartament 3 Camere Bloc Nou Finisaje Lux ,3 camere,78.13 mp utili,138.000 EUR,"Bucuresti, Sector 2, zona Decebal "
56500I4H9N1, Apartament 2 camere la doar 5 minute de metrou Dimitrie Leonida ,2 camere,46 mp utili,51.500 EUR,"Bucuresti, Sector 4, zona Berceni "
9JV1000001Q, Apartament 2 camere finisaje premium Pipera  ,2 camere,54.49 mp utili,71.830 EUR,"Bucuresti, zona Pipera "
92O00I27OMR, Parcul Titan IOR - 2015 - 3 min metrou - parcare subterana ,3 camere,112 mp utili,135.000 EUR,"Bucuresti, Sector 3, zona Titan "
9961000001T," DINAMIC CITY- Apartament de 2 camere, TIP DUPLEX, imobil FINALIZAT, COMISION 0% ",2 camere,71 mp utili,181.337 EUR + TVA,"Bucuresti, zona Aviatiei "
6GF00GLSVAF, Vanzare imobil exclusivist Decebal Boutique Apartments ,2 camere,50 mp utili,105.000 EUR + TVA,"Bucuresti, Sector 3, zona Decebal "
7VI00FRF9DR, APARTAMENTE 2 CAMERE BLOC NOU ZONA GRAZAVESTI ,2 camere,49.1 mp utili,76.900 EUR + TVA,"Bucuresti, Sector 6, zona Politehnica (Militari) "
9R900HT1LG1, ** newplace.ro | Cortina Residence | Apartament exclusivist | 3 camere | Lux ** ,3 camere,110 mp utili,290.000 EUR + TVA,"Bucuresti, Sector 1, zona Herastrau "
5FQ00FOSVF8, Vanzare apartament cu 4 camere langa Padure ,4 camere,99 mp utili,75.900 EUR + TVA,"Bucuresti, Sector 1, zona Nord "
9MM00I46S4U, Apartament 2 camere cu doua balcoane vedere mixta Bulevardul Pipera  ,2 camere,54 mp utili,60.000 EUR + TVA,"Bucuresti, Sector 1, zona Pipera "
A2I00I6R6NP, Apartament 2 Camere - Decomandat - Theodor Pallady - Ozana  ,2 camere,51.6 mp utili,51.600 EUR,"Bucuresti, Sector 3, zona Theodor Pallady (Titan) "
A2I00I6QKPC, Apartament 2 cam BLOC NOU - METROU PACII ,2 camere,58 mp utili,57.500 EUR,"Bucuresti, Sector 6, zona Gorjului (Militari) "
9R900HQLTR2, **newplace.ro | Cortina Residence | Penthouse unicat | Vedere panoramica | Lux** ,5 camere,290 mp utili,1.500.000 EUR + TVA,"Bucuresti, Sector 1, zona Herastrau "
A2I00I53SV2, Apartament 2 camere Metrou Pacii ,2 camere,58 mp utili,57.500 EUR,"Bucuresti, Sector 6, zona Pacii (Militari) "
8ST00I5EDJP, Rezervare Gratuita- Apartament 2 Camere Cartierul Solar  ,2 camere,57 mp utili,56.000 EUR,"Bucuresti, Sector 4, zona Metalurgiei (Berceni) "
A2I00I4TVDH, Apartament 2 camere tip studio-nicolae grigorescu ,2 camere,45 mp utili,50.190 EUR,"Bucuresti, Sector 3, zona Nicolae Grigorescu (Titan) "
1UR1000AP43," Apartament rafinat cu 4 camere, amenajare de exceptie, terase 20mp ",4 camere,147 mp utili,449.000 EUR,"Bucuresti, zona Herastrau "
98O00I4706O," Titan 4 Residence , apartamente 1,2,3,4 camere ",3 camere,90 mp utili,63.700 EUR,"Bucuresti, Sector 3, zona Titan "
2F71000ER2K," Best deal!Ideal pentru familie cu copii.Piscina,fitness, parcare.COMISION 0% ",4 camere,140 mp utili,305.000 EUR,"Bucuresti, zona Soseaua Nordului (Herastrau) "
2F71000DN8N, One Herastrau Park | Green Home | 2 parcari | Gradina 325 mp ,4 camere,4 cam,508.999 EUR + TVA,"Bucuresti, zona Herastrau "
2F71000FNUA, Duplex cu 5 camere de vanzare in zona Herastrau | Soseaua Nordului ,5 camere,5 cam,799.888 EUR,"Bucuresti, zona Soseaua Nordului (Herastrau) "
2F71000FRFA, Velvet Vanity - lux si rafinament zona Herastrau ,4 camere,117 mp utili,286.000 EUR,"Bucuresti, zona Herastrau "
2F71000FO18," Alcantara Residence | Penthouse 5 camere Herastrau, vedere deschisa ",5 camere,5 cam,475.000 EUR,"Bucuresti, zona Herastrau "
A4P00I68FHV," EXCLUSIV! Penthouse Sos. NORDULUI, terasa de 267 mp, loc de parcare garaj  ",3 camere,403 mp utili,850.000 EUR,"Bucuresti, Sector 1, zona Soseaua Nordului (Herastrau) "
2F71000FN3N," UNIQUE!6 rooms-two conected apartments for sale,Herastrau area-Amazing Lake view ",5 camere,231 mp utili,690.000 EUR + TVA,"Bucuresti, zona Herastrau "
2F71000FNMR," Hera Residence | spatios,luminos,centrala proprie, parcare,vedere libera la Parc ",3 camere,3 cam,275.000 EUR,"Bucuresti, zona Herastrau "
2F71000FO1I," 4 camere Satul Francez,ideal pentru o familie cu copii, loc parcare ,boxa. ",4 camere,110 mp utili,264.800 EUR,"Bucuresti, zona Herastrau "
2F71000FS0G, Apartament spatios si luminos in zona Soseaua Nordului ,4 camere,4 cam,325.000 EUR,"Bucuresti, zona Herastrau "
2F71000G33M, Razor Penthouse | 5 rooms apartment in Herastrau with Park View ,5 camere,5 cam,1.349.888 EUR,"Bucuresti, zona Herastrau "
5M000HLPF3D, -TITAN-118 mp-CURTE PROPRIE DE 32 MP-BOXA 6 MP GRATIS-APARTAMENT UNICAT IN ZONA ,3 camere,88 mp utili,88.900 EUR,"Bucuresti, Sector 3, zona Titan "
38B10004AJU," Soseaua Nordului, Herastrau, High Residence - 4 Camere ",4 camere,150 mp utili,425.000 EUR + TVA,"Bucuresti, zona Soseaua Nordului (Herastrau) "
5M000G97V4D," PRIMA CASA---DEZVOLTATOR-BLOC FINALIZAT-SILVER LINE APARTMENTS-- 2,3 SI 4 CAMERE ",3 camere,85 mp utili,81.500 EUR,"Bucuresti, Sector 3, zona Titan "
2F71000FO3E," Ideal investitie in Herastrau!Luminos,mobilat lux 2 locuri parcare ",4 camere,4 cam,279.888 EUR,"Bucuresti, zona Herastrau "
5M000HLPEJ8, GURA PUTNE 24-CALITATEA FACE DIFERENTA- RECOMANDAM EXPERTIZA TEHNICA ,2 camere,56 mp utili,54.900 EUR,"Bucuresti, Sector 3, zona Titan "
5M000GBF0PQ," PRIMA CASA---BLOC FINALIZAT-SILVER LINE APARTMENTS- 2, 3, 4 CAMERE-TITAN--CREDIT ",3 camere,85 mp utili,81.450 EUR,"Bucuresti, Sector 3, zona Titan "
5M000HJTMFJ, GURA PUTNE 24-CALITATEA FACE DIFERENTA- RECOMANDAM EXPERTIZA TEHNICA ,3 camere,81 mp utili,77.900 EUR,"Bucuresti, Sector 3, zona Titan "
91T00I6B8I3, Malva Residential | Parcare inclusa | Mutare rapida | Metrou N.Grigorescu  ,2 camere,45 mp utili,50.200 EUR,"Bucuresti, Sector 3, zona Nicolae Grigorescu (Titan) "
A2I00I6QLP5, Apartament 2 camere metrou Pacii-Militari. Oferta promotionala! ,2 camere,61 mp utili,60.500 EUR,"Bucuresti, Sector 6, zona Militari "
A2I00I54049, Apartament 3 camere Militari( Metrou Pacii) ,3 camere,86 mp utili,84.600 EUR,"Bucuresti, Sector 6, zona Pacii (Militari) "
2F71000DEPO," Hageen Residence, penthouse 4 camere, terasa, ultraluxury, Sos.Nordului, parc ",4 camere,197 mp utili,419.000 EUR + TVA,"Bucuresti, zona Soseaua Nordului (Herastrau) "
2F71000G3LP, Infinity The Penthouse Amazing view of the city from the tallest building in RO ,5 camere,5 cam,PretNecomunicat,"Bucuresti, zona Unirii "
2F71000EMLB," 49 GAFENCU | Vedere Parc Herastrau | 220 mp, terasa 43 sm | COMISION 0% ",5 camere,220 mp utili,546.218 EUR + TVA,"Bucuresti, zona Soseaua Nordului (Herastrau) "
55I00HOJ2L2, Neofort 57 - Apartament 3 Camere Luminos Bloc Nou ,3 camere,78.13 mp utili,138.000 EUR,"Bucuresti, Sector 2, zona Calea Calarasilor "
2F71000FS25, One Herastrau Plaza | Apartament luminos si spatios cu vedere deschisa ,2 camere,56 mp utili,175.000 EUR,"Bucuresti, zona Herastrau "
2F71000FLFO, Malakoff Residence - Apartament cu 4 camere de vanzare in zona Herastrau ,4 camere,145.16 mp utili,277.000 EUR,"Bucuresti, zona Herastrau "
2F71000G19B," One Herastrau Park,Proiect rezidential certificat Green Home,vedere parc si lac ",2 camere,2 cam,179.888 EUR,"Bucuresti, zona Herastrau "
2F71000FB4N, One Herastrau Park | superb apartament de 3 camere mobilat lux in Herastrau ,3 camere,3 cam,379.888 EUR,"Bucuresti, zona Herastrau "
9R900I1PSNT, ** newplace.ro | Cortina Residence | Apartament exclusivist | 3 camere | Lux ** ,3 camere,120 mp utili,335.000 EUR,"Bucuresti, Sector 1, zona Herastrau "
2F71000F8F1, Apartament cu 4 camere in zona Soseaua Nordului ,4 camere,150 mp utili,324.500 EUR,"Bucuresti, zona Soseaua Nordului (Herastrau) "
2F71000F8LR, One Floreasca Lake-Luxury concept apartment with Lake view! ,4 camere,4 cam,399.888 EUR + TVA,"Bucuresti, zona Herastrau "
2F71000EML9," 49 GAFENCU | 4 camere, 174 mp | De la dezvoltator | COMISION 0% ",4 camere,173.31 mp utili,335.800 EUR + TVA,"Bucuresti, zona Herastrau "
2F71000EUM8, Barron Residence | Apartament cu 3 camere de vanzare in zona Soseaua Nordului ,3 camere,141.49 mp utili,329.000 EUR,"Bucuresti, zona Soseaua Nordului (Herastrau) "
9M900I5TMPU, Apartament 2 camere  ,2 camere,41.6 mp utili,43.900 EUR + TVA,"Bucuresti, Sector 6, zona Militari "
8FA00GHC8SJ, Apartament 4 camere proiect exclusivist Nordul Capitalei ,4 camere,116 mp utili,200.000 EUR + TVA,"Bucuresti, Sector 2, zona Floreasca "
2F71000FH3S," Cochet,luminos,loc parcare,Herastrau ",3 camere,80 mp utili,189.900 EUR,"Bucuresti, zona Herastrau "
7Q1100000TE," Apartament 2 cam,53 mp utili,decomandat,bloc nou,MUTARE IMEDIATA ",2 camere,54.35 mp utili,48.000 EUR,"Bucuresti, zona Militari "
A1L00I6TCJ5, PRIMA CASA ! Apartament 3 camere la doar 1 minut METROU ,3 camere,71 mp utili,59.900 EUR,"Bucuresti, Sector 4, zona Berceni "
A2I00I6QIIR, Apartament 2 camere Titan ,2 camere,50 mp utili,49.650 EUR,"Bucuresti, Sector 3, zona 1 Decembrie 1918 (Titan) "
A0500I10C2U, Apartament 2 camere - bloc nou - zona Militari - 5% discount ,2 camere,54.84 mp utili,47.000 EUR,"Bucuresti, zona Militari "
A1L00I72TEH, [METROU 200METRI] Apartament 2 camere 65mp - PRIMA CASA ,2 camere,65 mp utili,52.155 EUR,"Bucuresti, Sector 4, zona Berceni "
A2I00I6QJ40, Garsoniera Titan-Ozana ,o cameră,40 mp utili,40.000 EUR,"Bucuresti, Sector 3, zona 1 Decembrie 1918 (Titan) "
A1L00I6AR09," [Berceni] Apartament 2 camere , deomandat - Metrou Berceni ",2 camere,56 mp utili,47.500 EUR,"Bucuresti, Sector 4, zona Berceni "
A1L00I701D1, Garsoniera 36mp - OFERTA NOUA - Carrefour Grand Arena ,o cameră,36 mp utili,30.500 EUR,"Bucuresti, Sector 4, zona Berceni "
8ST00HMC2H3, Apartament 2 camere cochet semi-decomandat! ,2 camere,64.6 mp utili,56.000 EUR,"Bucuresti, Sector 4, zona Berceni "
55I00I1SL8Q, Neofort 57 - Apartament 3 Camere Bloc Nou Predare Luna Aprilie ,3 camere,103.96 mp utili,151.611 EUR + TVA,"Bucuresti, Sector 2, zona Calea Calarasilor "
8C000HT7P1S, Delea Noua - Decebal - predare Iunie 2019 - direct dezvoltator ,2 camere,58.15 mp utili,99.000 EUR + TVA,"Bucuresti, Sector 3, zona Calea Calarasilor "
49U00HDN0BE, Apartament superb 4 camere Baneasa Ion Ionescu de la Brad  ,4 camere,176.5 mp utili,263.600 EUR,"Bucuresti, Sector 1, zona Baneasa "
A2I00I5TPRL, Apartament 2 camere-bloc nou-Cartierul nou Titan ,2 camere,50 mp utili,50.000 EUR,"Bucuresti, Sector 3, zona Ozana (Titan) "
55I00I08JSG, Neofort 10 Rezidential Sector 2 Apartament 2 camere amenajare lux proprietar ,2 camere,45.85 mp utili,39.340 EUR + TVA,"Bucuresti, Sector 2, zona Colentina "
55I00I08IMV, Neofort 10 - PROMO PRET Garsoniera bloc nou Sector 2 Proprietar ideal investitie ,o cameră,33.6 mp utili,28.830 EUR + TVA,"Bucuresti, Sector 2, zona Colentina "
9JV10000020,  DIRECT DEZVOLTATOR 4City Residence apartamente noi 2 camere COMISION 0% ,2 camere,Etaj 3/7,77.803 EUR + TVA,"Bucuresti, zona Pipera "
9JV1000002L,"  Apartament 2 camere, Pipera ideal investitie ! COMISION 0%  ",2 camere,51.23 mp utili,73.700 EUR + TVA,"Bucuresti, zona Pipera "
9FM00I5B879, Grasoniera Tip B complex nou langa Mall Plazza Romania ,o cameră,35.1 mp utili,42.100 EUR,"Bucuresti, Sector 6, zona Drumul Taberei "
A5400I6RCK6," Apartament 2 camere la parter in bloc nou de 3 etaje, theodor pallady ",2 camere,40.46 mp utili,38.500 EUR + TVA,"Bucuresti, Sector 3, zona Theodor Pallady (Titan) "
9JV1000002A, Apartament 3 camere Lux Pipera Comision 0 %  ,3 camere,67.53 mp utili,89.000 EUR + TVA,"Bucuresti, zona Pipera "
81900I6PKT1, 2 camere | Central | Valeriu Braniste ,2 camere,65 mp utili,36.000 EUR,"Bucuresti, Sector 3, zona Unirii "
9JV1000002B, Direct DEZVOLTATOR. Apartamente in zona de NORD. COMISION 0% ! ,2 camere,53 mp utili,69.300 EUR + TVA,"Bucuresti, zona Pipera "
7Q1100000VG," Ap 2 cam zona Lidl Uverturii, decomandat, Bloc Nou 3 Etaje ",2 camere,51 mp utili,40.850 EUR,"Bucuresti, zona Militari "
9LG00I6TJJ6, Apartament 2 Camere - Decomandat - 1Decemrie 1918 - Theodor pallady  ,2 camere,47.4 mp utili,39.100 EUR + TVA,"Bucuresti, Sector 3, zona Theodor Pallady (Titan) "
53U00HJ7TL5, Apartament 2 camere - 62 mp - 48300 Euro - Metrou Dimitrie Leonida ,2 camere,62 mp utili,48.300 EUR,"Bucuresti, Sector 4, zona Berceni "
A2I00I68DU9,  Metrou Pacii-Militari- direct dezvoltator 2 camere 61500euro ,2 camere,61.7 mp utili,61.500 EUR,"Bucuresti, Sector 6, zona Militari "
8C000H04OKN," Dristor Park 2, ULTIMUL LA ETAJ, 1 bai cu geam, 5 min Metrou, parcare inclusa ",3 camere,93.9 mp utili,137.000 EUR,"Bucuresti, Sector 3, zona Dristor "
8C000HORJ30, Delea Noua - Decebal - predare Iunie 2019 - direct dezvoltator ,3 camere,78.35 mp utili,133.500 EUR + TVA,"Bucuresti, Sector 3, zona Unirii "
55I00HTRN6G, NEOFORT 65-3 CAMERE-DECOMANDAT-BUCATARIE INCHISA-FUNDENI 69 - DEZVOLTATOR ,3 camere,81.6 mp utili,61.689 EUR + TVA,"Bucuresti, Sector 2, zona Colentina "
A4L00I60TU9," Apartament, Bloc NOU - Direct dezvoltator ",3 camere,63.76 mp utili,54.238 EUR + TVA,"Bucuresti, Sector 5, zona Antiaeriana (Rahova) "
8BV00HV2NLK," * ULTIMUL - dristor metrou, BLOC FINALIZAT, lift, placa beton + pod deasupra ",2 camere,60 mp utili,82.500 EUR,"Bucuresti, Sector 3, zona Dristor "
8M600I7325F, Berceni | Apartament 2 camere | Bonus 1 Loc de parcare ,2 camere,62 mp utili,63.900 EUR,"Bucuresti, Sector 4, zona Aparatorii Patriei (Berceni) "
98O00I46VHQ," Tiatn4Residence, apartamente 1,2,3,4 camere ",o cameră,36 mp utili,33.600 EUR,"Bucuresti, Sector 3, zona Titan "
9VB00I0O30K, Apartament 3 camere - A2.1  ,3 camere,70.19 mp utili,129.303 EUR + TVA,"Bucuresti, Sector 1, zona Iancu Nicolae (Pipera) "
9OO00I6DG6M, Baneasa | Ionescu Sisesti | Bloc Nou ,o cameră,40 mp utili,49.400 EUR + TVA,"Bucuresti, Sector 1, zona Baneasa "
A0800I1L9DK, Apartament 3 camere cu terasa in H Pipera Lake. Oferta promotionala! ,3 camere,70.9 mp utili,93.800 EUR + TVA,"Bucuresti, zona Pipera "
9VB00I0O71C, Apartament 3 camere - A2.1 ,3 camere,70.19 mp utili,129.303 EUR + TVA,"Bucuresti, Sector 1, zona Pipera "
A5000I6GV17, APARTAMENTE CU 2 SI 3 CAMERE INTR-UN PARC REZIDENTIAL MODERN SI ELEGANT ,3 camere,105 mp utili,87.500 EUR + TVA,"Bucuresti, zona Nord "
A4V00I72P5G," APARTAMENT 3 CAMERE, MOSILOR/OBOR, CONSTRUCTIE PREMIUM, BIROU VANZARI ",3 camere,68.6 mp utili,123.500 EUR + TVA,"Bucuresti, Sector 2, zona Mosilor "
55I00I1SKRF, Neofort 57 - Apartament 3 Camere Bloc Nou Predare Luna Aprilie ,3 camere,103.96 mp utili,151.611 EUR + TVA,"Bucuresti, Sector 2, zona P-ta Alba Iulia (Unirii) "
9OO00I0NKLC, Baneasa - Garsoniera Decomandata - Bonus Loc De Parcare ,o cameră,40 mp utili,60.800 EUR,"Bucuresti, Sector 1, zona Baneasa "
8M600I46QU0," Penthouse 2 camere EDEN RESIDENCE, Sector 4  ",2 camere,2 cam,78.900 EUR,"Bucuresti, Sector 4, zona Oltenitei (Berceni) "
1UR1000FS32," Oferta zonei Herastrau! Apartamente cu 3 camere, piscina, imobil premium ",3 camere,98 mp utili,245.000 EUR + TVA,"Bucuresti, zona Herastrau "
1UR1000FL5C," Terasa 48mp! Apartament cu 4 camere, luminos, vedere spre parc ",4 camere,140 mp utili,460.000 EUR,"Bucuresti, zona Herastrau "
9OO00I6DGOI, Baneasa | Bloc Nou | Lake View Sisesti ,2 camere,65 mp utili,80.755 EUR + TVA,"Bucuresti, Sector 1, zona Baneasa "
1UR10001I3L, TOP DEAL! Apartament cu 4 camere cu piscina interioara si sala fitness ,4 camere,140 mp utili,255.000 EUR,"Bucuresti, zona Herastrau "
9OO00I6APA2, Baneasa | Ionescu Sisesti | Vedere Directa Lac Grivita ,3 camere,86 mp utili,97.000 EUR + TVA,"Bucuresti, Sector 1, zona Baneasa "
9TC00HTREE3," Apartament de Vanzare 2 Camere Militari, Chiajna ",2 camere,49 mp utili,41.900 EUR,"Bucuresti, Sector 6, zona Militari "
9VB00I0O71C, Apartament 3 camere - A2.1 ,3 camere,70.19 mp utili,129.303 EUR + TVA,"Bucuresti, Sector 1, zona Pipera "
A4L00I60TU9," Apartament, Bloc NOU - Direct dezvoltator ",3 camere,63.76 mp utili,54.238 EUR + TVA,"Bucuresti, Sector 5, zona Antiaeriana (Rahova) "
