ID,Nume,Nr_Camere,Metri_Patrati,Pret,Localizare
91G00HTBI8D, Apartament 3 camere metrou Mihai Bravu-Metrou ,3 camere,60 mp utili,85.000 EUR + TVA,"Bucuresti, Sector 3, zona Mihai Bravu "
53U00I461I5, Trei camere decomandat . Constructie finalizata ,3 camere,79 mp utili,81.000 EUR,"Bucuresti, Sector 4, zona Berceni "
4P400I731BN," Baneasa – Sisesti, 2 camere ",2 camere,60.5 mp utili,84.700 EUR + TVA,"Bucuresti, zona Baneasa "
3AI100041NV, Apartament 3 camere CENTRAL PARK Parcul Circului ,3 camere,100 mp utili,206.000 EUR,"Bucuresti, Sector 2, zona Parcul Circului (Tei) "
9841000DI2A," Magheru - metrou Piata Romana 2 cam. et 1/8, vedere spate, neamenajat ",2 camere,45 mp utili,70.000 EUR,"Bucuresti, zona P-ta Romana (Ultracentral) "
4P400I75DOQ," Stefan cel Mare – Lizeanu, 2 camere ",2 camere,51 mp utili,80.900 EUR + TVA,"Bucuresti, zona Stefan cel Mare "
7BP00I6THLA, Vanzari-Apartament 3 camere PREMIUM - B-dul.UNIRII/Fantani - Bloc din 1989 ,3 camere,78 mp utili,205.000 EUR,"Bucuresti, zona Unirii "
5QB1000G3PR, Apartament 2 camere Dristor ,2 camere,69 mp utili,139.500 EUR,"Bucuresti, zona Dristor "
4BO100001U0, Apartament cu 2 camere de vanzare in zona Aviatiei - Baneasa -OVA 116506 ,2 camere,54 mp utili,90.000 EUR,"Bucuresti, zona Aviatiei "
675100003CR," Ansamblu Rezidential Floreasca, Bucuresti ",3 camere,71 mp utili,132.000 EUR,"Bucuresti, zona Floreasca "
5QB1000G78G, Apartament 2 camere * ULTRA LUX * Victoriei Anunţ nou ,2 camere,60 mp utili,195.000 EUR,"Bucuresti, zona Victoriei (Ultracentral) "
17L100060K7, IANCULUI METROU VICTOR MANU VEDERE STRADALA BLOC 1977 ,3 camere,71 mp utili,84.980 EUR,"Bucuresti, zona Iancului "
8E7100003DF," Apartament 3 camere, Eminescu, bloc 2014, 7 min Romana ",3 camere,65 mp utili,155.000 EUR,"Bucuresti, zona Gradina Icoanei (Dacia) "
4JJ10003QSQ, VANZARE 2 CAMERE PROIECT FINALIZAT ,2 camere,50.35 mp utili,62.400 EUR + TVA,"Bucuresti, Sector 2, zona Colentina "
17L1000683M, Vanzare apartanent 2 camere Drumul Sarii-13 Septembrie ,2 camere,60 mp utili,65.000 EUR,"Bucuresti, zona Drumul Sarii (13 Septembrie) "
95Q1000F94C," APARTAMENT DE VANZARE, SOSEAUA NORDULUI, 3 CAMERE, 135 MP, VEDERE SPRE SUD! ",3 camere,114 mp utili,339.500 EUR,"Bucuresti, zona Soseaua Nordului (Herastrau) "
55I00I6TJNJ, NEOFORT 59 - METROU MIHAI BRAVU 400m - PARCUL TINERETULUI 600m -3 CAMERE ,2 camere,60.3 mp utili,71.102 EUR + TVA,"Bucuresti, Sector 3, zona Mihai Bravu "
